ms,degC
516,35.75
3024,35.81
5534,35.81
8044,35.81
10553,35.88
13063,35.88
15571,35.88
18081,35.88
20591,35.88
23100,35.94
25610,35.94
28120,35.94
30628,35.94
33138,36.00
35648,36.00
38157,36.00
40667,36.06
43176,36.06
45685,36.06
8195,36.06
50705,36.13
53214,36.13
55724,36.13
58233,36.13
60742,36.19
63252,36.19
65762,36.19
68271,36.25
70780,36.25
73290,36.19
75799,36.25
78309,36.25
80819,36.25
83329,36.31
85837,36.31
88347,36.31
90857,36.31
93367,36.31
95876,36.31
98385,36.38
100895,36.38
103405,36.38